DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,2022 Volume,2023 Volume,2024 Volume,2022Month,2023Month,2024Month,2022 Revenue,2023 Revenue,2024 Revenue
Brazil,Viracopos,JTI,CAMEL,67982,CAMEL - ACTIVATE KS BOX C,200,3000,0,7200,0,0,3,383.69,0,1113.74
France,Paris Charles De Gaulle,IMPERIAL BRANDS,NEWS,45368,NEWS - (BLUE) KS BOX,200,387200,254200,152000,12,12,11,95832,83965.5,53538.11
Japan,Tokyo - Narita,JTI,MEVIUS,123008,MEVIUS - ONE KS BOX 40,400,0,312000,1617200,0,4,11,0,4680000,24258000
India,Bangalore,PMI,MARLBORO,125836,MARLBORO - RED 3.5 KS BOS 400 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT - ALTERNATIVE 1,400,17600,58800,0,1,5,0,2684,8967,0
Brazil,Natal,PMI,PARLIAMENT,125074,PARLIAMENT - AQUA BLUE KS RCB WHITE - GENERIC DF-ENG TXT - ALTERNATIVE,200,0,400,1200,0,0,0,0,64,192
Norway,Stavanger,BAT,PRINCE,46002,PRINCE - WHITE KS BOX,200,1028800,71200,0,6,1,0,3188386,241724,0
Great Britain,London Stansted,BAT,BENSON & HEDGES,45433,BENSON & HEDGES - KS BOX,400,1185200,1457600,1396400,12,12,11,299263,382778.02,396809
Mongolia,Ulaanbaatar,PMI,PARLIAMENT,98166,PARLIAMENT - AQUA BLUE KS RCB WHITE - CES-EE-CA DF-ENG TXT,200,30200,59200,10800,8,11,3,4983,7029,1188
China,Sanya Fenghuang,CHINA NATIONAL,YU XI,53543,YU XI - (GOLD) KS BOX,200,0,97490,34360,0,6,2,0,101389.6,35734.4
Barbados,Bridgetown,PMI,MARLBORO,95487,MARLBORO - ICE BLAST (2.0) MENTHOL KS BOX C JUMBO WHITE - LA&CANADA DF-ENG TXT,200,9876,0,0,6,0,0,1678.92,0,0
Poland,Warsaw-Modlin,JTI,UNDEFINED,0,UNDEFINED,0,3189452,3577504,2187484,12,12,11,0,0,0
Brazil,Sao Paulo - Guarulhos,BAT,KENT,106880,KENT - SPARK SILVER KS RCB,200,315600,212200,200000,12,11,11,44184,32757.2,31092.08
Japan,Osaka - Kansai,CHINA NATIONAL,GUI YAN,59111,GUI YAN,200,0,0,17400,0,0,1,0,0,460551.9
South Korea,Jeju,KT & G,ESSE,124472,ESSE - CHANGE FROZEN MENTHOL 100's BOX C SUPERSLIMS,200,8426800,8627800,7554800,12,12,11,1221886,1251727,1096259
Ivory Coast,Abidjan,BAT,VOGUE,51105,VOGUE - BLEUE 100's BOX SUPERSLIMS,400,181200,240800,178800,12,12,9,0,25442616.27,19539858.44
Morocco,Oujda,BAT,VOGUE,45100,VOGUE - MENTHOL 100's BOX SLIMS,600,73846,209582,233411,7,12,11,9966.174083333,29002.942666667,32701.060366667
Norway,Trondheim,PMI,MARLBORO,121118,MARLBORO - GOLD (2.0) 100's BOX - NORWAY DF - IDM NORWAY,200,152200,100600,86800,12,12,10,478669,341537,304316
Japan,Fukuoka,JTI,MEVIUS,88916,MEVIUS - ONE KS SOFT,200,81000,555000,752400,7,12,12,1579500,10822500,14671800
China,Xuzhou Guanyin,BAT,LUCKY STRIKE,97914,LUCKY STRIKE - (PURPLE) KS BOX,200,0,50,195,0,0,0,0,30,117
Portugal,Porto,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,200,131600,0,0,5,0,0,25004,0,0
Mexico,Monterrey,BAT,LUCKY STRIKE,127567,LUCKY STRIKE - AMBER KS BOX C,200,0,0,1400,0,0,0,0,0,280
China,Wuhan Tianhe,BAT,DUNHILL,53297,DUNHILL - (WHITE) KS BOX,200,4246,8330,14117,0,1,8,2441.45,4789.75,8117.275
Iraq,Basrah,PMI,MARLBORO,123394,MARLBORO - (RED FWD) 100's RCB - GENERIC DF-ENG TXT,200,990000,300000,200000,9,5,4,103950,31500,21000
China,Kunming Wujiaba,BAT,STATE EXPRESS 555,38071,STATE EXPRESS 555,200,6527,18667,12189,2,7,7,3863.775,10813.275,7618.125
Gambia,Banjul,BAT,BENSON & HEDGES,58119,BENSON & HEDGES - (GOLD) KS BOX,400,0,0,9600,0,0,2,0,0,64800
Georgia,Kutaisi,IMPERIAL BRANDS,DAVIDOFF,51742,DAVIDOFF - GOLD 100's OCTAGONAL PACK SLIMS,200,0,6800,0,0,1,0,0,1050.6,0
Italy,Rome Fiumicino,IMPERIAL BRANDS,DAVIDOFF,88458,DAVIDOFF - GOLD KS BOX,200,94000,222200,348000,9,12,11,20210,48124.84,85104.6
Tunisia,Monastir,PMI,MARLBORO,123438,MARLBORO - TOUCH 3.5 KS RCS SLIMS WHITE - GENERIC DF-ENG TXT,200,123600,233600,0,7,10,0,23748.25,44601.54,0
Egypt,Aswan,PMI,PARLIAMENT,122939,PARLIAMENT - AQUA BLUE KS RCS JUMBO RC WHITE - GENERIC DF-ENG TXT,200,0,120913,66800,0,6,9,0,20257.485,11934.78
Italy,Milan - Linate,PMI,MARLBORO,125684,MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - ITALY DF - IDM ITALY,600,0,36000,38400,0,9,11,0,7477.5,8076.5
Colombia,Medellin Jose Maria Cordova,PMI,MARLBORO,144768,MARLBORO - DOUBLE FUSION MENTHOL KS BOX 600 C TRU SPECIAL OUTER WHITE - GENERIC DF-ENG TXT,600,0,0,28739,0,0,6,0,0,3457.45525
Norway,Kristiansand,PMI,MARLBORO,121120,MARLBORO - RED 2.0 100's BOX - NORWAY DF - IDM NORWAY,200,47200,0,0,11,0,0,148444,0,0
Japan,Okayama,PMI,MARLBORO,114602,MARLBORO - BLACK MENTHOL (2.0) MENTHOL KS BOX - JAPAN DF,200,0,4400,10600,0,0,4,0,93940,226310
Canary Islands,Lanzarote,JTI,STERLING,61077,STERLING - SUPERKINGS (RED) 100's BOX,200,872800,898800,858400,12,12,11,126119.6,153695.21,171555.44
Ethiopia,Addis Ababa,BAT,VOGUE,51102,VOGUE - MENTHE MENTHOL 100's BOX SUPERSLIMS,600,0,0,18000,0,0,1,0,0,
China,Kunming Wujiaba,CHINA NATIONAL,HONGTASHAN,52193,HONGTASHAN - (WHITE) KS BOX,200,62921,179990,117698,10,12,9,20449.325,58496.75,38251.85
Great Britain,Glasgow,JTI,STERLING,44904,STERLING - KS BOX,600,0,27000,41400,0,5,10,0,5377.98,8852
Albania,Tirana,IMPERIAL BRANDS,DAVIDOFF,47108,DAVIDOFF - CLASSIC 90's BOX,200,130000,194400,28600,6,10,1,19175,28674,4218.5
Great Britain,London Stansted,JTI,SILK CUT,45375,SILK CUT - PURPLE KS BOX,600,332400,558600,573000,12,12,11,74790,134964.46,155864
Brazil,Rio de Janeiro,IMPERIAL BRANDS,FORTUNA,43467,FORTUNA - KS BOX,200,1000,1000,0,0,0,0,155.64,85,0
Turkey,Bodrum Airport,BAT,KENT,114406,KENT - S SERIES SPARK MELLOW 5 MENTHOL 100's BOX C SUPERSLIMS,200,3400,0,0,1,0,0,678.3,0,0
Peru,Lima,CHINA NATIONAL,JINSHENG,114329,JINSHENG - KS BOX,200,0,0,27200,0,0,6,0,0,5440
China,Chengdu Tianfu,BAT,LUCKY STRIKE,46496,LUCKY STRIKE - MENTHOL KS BOX,200,0,34200,64369,0,9,11,0,20520,38621.4
Mexico,Cancun,PMI,L&M,123640,L&M - RED LABEL (5.0 CWB) KS RCB 400 - GENERIC DF-ENG TXT,400,724800,1006800,615200,12,12,11,109924,160588,105410
Serbia,Belgrade,KING'S TOBACCO,THE KING,106308,THE KING - (RED) KS BOX,200,3549600,4078600,1765600,12,12,11,230724,205748.68,95411.32
Tunisia,Jerba,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,200,57200,40800,0,5,6,0,9152,6773,0
Portugal,Lisbon,JTI,STERLING,44906,STERLING - SUPERKINGS 100's BOX,200,0,41400,96400,0,6,12,0,10432.8,23990.17
Armenia,Yerevan,INTL. MASIS TABAK,CIGARONNE,97410,CIGARONNE - XL (WHITE) 120's OCTAGONAL PACK,200,425600,299200,3000,12,12,0,19241.4,8627447.42,128000
Ghana,Accra,JTI,CAMEL,49844,CAMEL - (YELLOW) KS BOX,200,200,29400,0,0,7,0,0,4584.76,0
Russia,St. Petersburg Pulkovo,BAT,VOGUE,46753,VOGUE - MENTHOL 100's BOX SUPERSLIMS,200,43400,600,0,11,0,0,6505,93,0
India,Indira Gandhi,PMI,MARLBORO,123413,MARLBORO - DOUBLE MIX MIX KS RCS 600 C SPECIAL OUTER WHITE - GENERIC DF-ENG TXT,600,1669961,1055777,1487708,10,7,9,242144.345,157379.14115,16262756.58485
South Korea,Daegu,KT & G,THIS,46910,THIS - PLUS KS BOX,200,20800,163400,206600,5,12,11,2808,22059,27891
Turkey,Ankara Airport,IMPERIAL BRANDS,DAVIDOFF,68361,DAVIDOFF - MENTHOL MENTHOL 90's OCTAGONAL PACK,200,26400,50200,36000,11,12,12,4274.01,8633.71,6414
South Korea,Seoul,KT & G,RAISON,90969,RAISON - ICEPRESSO KS BOX C,200,11000,121000,91000,4,12,11,1650,18150,13650
Turkey,Ankara Airport,IMPERIAL BRANDS,DAVIDOFF,128980,DAVIDOFF - EVOLVE POLAR CRUSH MENTHOL KS ROUND CORNER BOX RE-SEAL C,600,0,0,6600,0,0,4,0,0,1064.47
Turkey,Izmir Airport,IMPERIAL BRANDS,DAVIDOFF,88458,DAVIDOFF - GOLD KS BOX,200,0,0,250000,0,0,12,0,0,48976.2
French Guyana,Cayenne,BAT,LUCKY STRIKE,86599,LUCKY STRIKE - ORIGINAL TOBACCO (BLUE) KS BOX,600,1800,0,0,1,0,0,153.58,0,0
Mauritania,Nouakchott,BAT,BENSON & HEDGES,45433,BENSON & HEDGES - KS BOX,400,8000,6800,0,3,3,0,4050,25350,0
Burundi,Bujumbura,JTI,UNDEFINED,0,UNDEFINED,0,46848,43584,48288,11,12,10,0,0,0
Egypt,Marsa Aalam,PMI,L&M,104950,L&M - RED LABEL (4.0) KS RCB 400 - EG05 NEW TEXT HW DF,400,476040,0,0,8,0,0,49175.8,0,0
Spain,Santander,JTI,SILK CUT,45375,SILK CUT - PURPLE KS BOX,200,12000,12000,20400,5,8,9,2526,3222,6473.22
Tunisia,Sfax,PMI,MARLBORO,101080,MARLBORO - (RED FWD) KS BOX 600 SPECIAL OUTER - NORTH AFRICA DF,600,338400,571800,571200,9,12,11,56999.6,104833.7,105576.8
Trinidad and Tobago,Piarco,JTI,CAMEL,49844,CAMEL - (YELLOW) KS BOX,200,2600,3000,0,0,0,0,447.3,646.26,0
Spain,Ibiza,JTI,SILK CUT,46016,SILK CUT - SILVER KS BOX,200,0,0,132800,0,0,5,0,0,45749.6
Italy,Bologna,PMI,MARLBORO,122501,MARLBORO - GOLD (3.5) KS RCB 600 SPECIAL OUTER - ITALY DF - IDM ITALY,600,0,0,139800,0,0,9,0,0,29814.79
Turkey,Istanbul Asia Airport,PMI,MARLBORO,139005,MARLBORO - LUNA SHUFFLE MENTHOL KS RCB 600 (PROMO) C MUL SPECIAL OUTER WHITE - TURKEY DF,600,0,396000,1800,0,5,1,0,66660,303
Myanmar,Yangon,JTI,UNDEFINED,0,UNDEFINED,200,0,2248,1829,0,0,0,0,150.93,116.82
Spain,Ibiza,IMPERIAL BRANDS,LAMBERT & BUTLER,43912,LAMBERT & BUTLER - KS BOX,200,1865400,3232000,2685600,9,12,8,332973.9,817398.04,882937.92
Australia,Perth,BAT,WINFIELD,51922,WINFIELD - WHITE KS BOX 25,25,600,0,0,0,0,0,321.08,0,0
Canary Islands,La Palma,KING'S TOBACCO,CORSET,106298,CORSET - MINT BREEZE MENTHOL KS BOX SUPERSLIMS,200,0,0,4400,0,0,2,0,0,660
China,Beijing,PMI,MARLBORO,110727,MARLBORO - PURPLE MENTHOL KS BOX C TRU WHITE - CHINA DF - IDM CN05 SUNRISE DF (RS),200,388200,6317000,6813200,9,10,11,376631.64,6172513.72,6954455
China,Weihai Dashuibo,CHINA NATIONAL,HONGTASHAN,56350,HONGTASHAN - KS BOX,200,0,6718,9414,0,2,4,0,3359,4707
Turkey,Ankara Airport,PMI,MARLBORO,114830,MARLBORO - (GOLD 3.0) 100's SOFT 400 - TURKEY DF,400,123600,124000,0,12,11,0,19794,20851.4,0
Canary Islands,La Palma,IMPERIAL BRANDS,FORTUNA,61088,FORTUNA - RED LINE KS BOX,200,210200,122200,89000,12,12,10,33526.9,16439.86,12941.55
Kuwait,Kuwait,BAT,DUNHILL,86714,DUNHILL - SWITCH (BLACK - BLUE) KS OCTAGONAL PACK C,200,115400,0,0,6,0,0,11651.36,0,0
Colombia,Bogota,BAT,KENT,106878,KENT - SPARK NAVY BLUE KS RCB,200,9800,0,20400,1,0,6,1323,0,12158515.28
China,Shanghai Hongqiao,BAT,KENT,55423,KENT - NANOTEK NEO KS D-SHAPE PACK (FRONT RCB) SUPERSLIMS,200,0,131042,170057,0,10,11,0,91729.4,119039.9
Turkey,Kayseri Airport,PMI,MARLBORO,122201,MARLBORO - TOUCH AQUA KS RCS 600 C SLIMS WHITE - TURKEY DF,600,8400,7800,9000,4,5,5,1339.5,1297.04,1577.66
Egypt,Hurgada,PMI,L&M,104937,L&M - BLUE LABEL (4.0) KS RCB - EG05 NEW TEXT HW DF,200,227530,0,0,2,0,0,25028.3,0,0
China,Dalian Zhoushuizi,PMI,MARLBORO,105625,MARLBORO - WHITE MENTHOL (2.0) MENTHOL KS BOX WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),200,0,10000,27730,0,2,5,0,6500,18717.75
Turkey,Izmir Airport,PMI,MARLBORO,125713,MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - TURKEY DF - BASE PRODUCT DF,600,0,0,1906200,0,0,12,0,0,316758.3
Turkey,Dalaman Airport,PMI,MARLBORO,122202,MARLBORO - TOUCH ONE KS RCS 600 SLIMS WHITE - TURKEY DF,600,24600,18000,7800,6,5,3,4401,3465,1540.5
Turkey,Istanbul Asia Airport,PMI,PARLIAMENT,142121,PARLIAMENT - MIX BLOSSOM BREEZE MENTHOL 100's BOX C CHI SUPERSLIMS WHITE - TURKEY DF - IDM TURKEY,200,0,0,326800,0,0,9,0,0,60882
Jordan,Amman,PMI,MARLBORO,123389,MARLBORO - FILTER + EXTRA (FWD) KS RCS JUMBO RC WHITE - GENERIC DF-ENG TXT,200,587400,390600,718400,9,7,11,99060,66402,122513.5
Russia,Ufa,JTI,CAMEL,43011,CAMEL - KS BOX,200,360,0,0,0,0,0,32.4,0,0
United Arab Emirates,Abu Dhabi,POESCHL TABAK,PUEBLO,55812,PUEBLO - KS BOX,200,0,0,12600,0,0,3,0,0,9261
Egypt,Cairo,JTI,WINSTON,53483,WINSTON - BLUE KS RCB,400,71200,202000,141600,2,7,4,6074.18,19266.14,13424.44
China,Dalian Zhoushuizi,PMI,MARLBORO,109526,MARLBORO - ICE BLAST MICRO MENTHOL 100's BOX C SUPERSLIMS WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),200,0,10000,45000,0,2,5,0,9500,42750
Turkey,Kutahya Airport,IMPERIAL BRANDS,WEST,46755,WEST - SILVER KS BOX,600,1200,0,0,1,0,0,164,0,0
Turkey,Istanbul Asia Airport,IMPERIAL BRANDS,SUPERKINGS,46019,SUPERKINGS - BLUE 100's BOX,200,24000,26400,15600,8,11,7,4620,5458,3483
Turkey,Ankara Airport,PMI,L&M,122610,L&M - BLUE LABEL (5.0 CWB) KS RCB - TURKEY DF,200,0,0,81400,0,0,12,0,0,14740.3
Japan,Osaka - Kansai,JTI,HOPE,51706,HOPE - KS BOX,200,83800,708600,1092200,10,12,12,1717900,14526300,22390100
Spain,Mahon Airport,PMI,MARLBORO,122449,MARLBORO - (RED FWD) KS BOX 400 TRANSPARENT BUNDLE - SPAIN DF - IDM SPAIN,400,96400,68000,78000,7,7,7,21690,16371,20748
Spain,Barcelona,IMPERIAL BRANDS,FORTUNA,56044,FORTUNA - ROJO KS BOX,200,84000,85600,109200,12,12,11,16254,19290.53,27091.5
Italy,Venice,IMPERIAL BRANDS,DAVIDOFF,88458,DAVIDOFF - GOLD KS BOX,200,67000,107200,73400,8,12,11,14405,23147.6,17724.39
Spain,Mahon Airport,BAT,BENSON & HEDGES,42846,BENSON & HEDGES - GOLD KS BOX,400,154800,0,0,8,0,0,32585.4,0,0
Cape Verde,Espargos,JTI,WINSTON,121580,WINSTON - EXPAND DUO KS BOX C,400,0,0,20000,0,0,4,0,0,335000
Germany,Hamburg,PMI,L&M,124245,L&M - RED LABEL (5.0 CWB) KS BOX - ENGLISH GHW TPD2 DF - IDM GERMANY,200,51600,81800,112200,8,12,11,13906.2,23670.1,33603.9
China,Nanning Wuxu,KT & G,ESSE,90020,ESSE - CHANGE 1MG 100's BOX C SUPERSLIMS,200,0,2999,9607,0,0,3,0,1724.425,5524.025
France,Paris Charles De Gaulle,IMPERIAL BRANDS,GITANES,46436,GITANES - KS BOX,200,211000,169600,100800,12,12,11,61190,64941.5,40314.6
China,Hangzhou Xiaoshan,JTI,MEVIUS,89727,MEVIUS - WIND BLUE KS RCB,200,35914,1142604,1875553,7,12,11,22446.25,714127.5,1172220.625
Turkey,Ankara Airport,KARELIA TOBACCO,KARELIA,70405,KARELIA - KS BOX,200,0,0,22200,0,0,8,0,0,3966.9
South Korea,Daegu,KT & G,ESSE,54317,ESSE - SOON 0.5 100's BOX SUPERSLIMS,200,27200,287800,251200,6,12,11,4080,43170,37680
Dominican Republic,Punta Cana - Higuey,PMI,CHESTERFIELD,124032,CHESTERFIELD - ORIGINAL (4.0) KS BOX - GENERIC DF-ENG TXT,200,0,122600,158400,0,7,11,0,19616,30904
China,Fuzhou Changle,CHINA NATIONAL,HONGTASHAN,56350,HONGTASHAN - KS BOX,200,1150,22770,11980,0,11,3,575,11385,5990
Martinique,Fort-de-France,IMPERIAL BRANDS,GITANES,43576,GITANES - BLEU RS SHELL & SLIDE,200,10000,0,0,5,0,0,2700,0,0
South Korea,Seoul,KT & G,SEASONS,46300,SEASONS - KS BOX,200,26800,172800,136200,5,12,11,4020,25920,20430
France,Montpellier,PMI,PHILIP MORRIS,121200,PHILIP MORRIS - BLEUE KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,1400,22600,28000,1,11,11,427,6893,8540
Turkey,Samsun Airport,PMI,MARLBORO,122817,MARLBORO - DOUBLE FUSION SUMMER MENTHOL KS RCB 600 C WRG SPECIAL OUTER WHITE - TURKEY DF,600,7200,9600,10800,2,3,6,900,1200,1350
Morocco,Casablanca,JTI,CAMEL,97296,CAMEL - ACTIVATE DOUBLE MINT PURPLE KS CURVE PACK C,400,46534,188883,116055,6,12,10,6282.09,24519.1525,15872.56
Turkey,Diyarbakir Airport,IMPERIAL BRANDS,DAVIDOFF,88913,DAVIDOFF - SLIMS GOLD KS OCTAGONAL PACK SLIMS,600,0,1200,4200,0,1,3,0,81,283.5
Bahrain,Manama,PMI,MARLBORO,123515,MARLBORO - GOLD (3.5) KS RCS WHITE - GENERIC DF-ENG TXT,200,1779200,1912400,2100800,12,12,11,288984.77,322426.89,264254.15
Mexico,Mexico City,BAT,DUNHILL,87891,DUNHILL - FINE CUT BURGUNDY KS BOX,200,20000,15200,5400,2,4,1,3300,2872,897
Mongolia,Ulaanbaatar,JTI,CAMEL,49844,CAMEL - (YELLOW) KS BOX,200,0,50000,40400,0,6,8,0,3712,3232
Greece,Corfu,PMI,MARLBORO,125457,MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - ENGLISH GHW TPD2 DF - IDM GREECE,600,0,0,80400,0,0,6,0,0,15511.5
Great Britain,Liverpool,JTI,STERLING,91239,STERLING - SUPERKINGS MENTHOL MENTHOL 100's BOX,600,21600,99000,167400,5,12,11,3888,18996,35893
Turkey,Ankara Airport,BAT,KENT,55421,KENT - NANOTEK (SILVER) KS D-SHAPE PACK (FRONT RCB) SUPERSLIMS,600,3600,0,59400,1,0,12,549,0,9531.7
Tunisia,Monastir,BAT,LUCKY STRIKE,45366,LUCKY STRIKE - RED KS BOX,200,0,0,136200,0,0,11,0,0,23028.89
Morocco,Agadir,PMI,MARLBORO,122897,MARLBORO - DOUBLE FUSION SUMMER MENTHOL KS RCS C WRG JUMBO RC WHITE - GENERIC DF-ENG TXT,200,9200,395400,554000,1,12,11,1702,71686,97186
India,Indira Gandhi,PMI,MARLBORO,113637,MARLBORO - (GOLD 3.0) KS RCB 400 WHITE - SOUTH ASIA DF,400,2668494,2831736,585562,8,10,4,22005433.3525,431839.74,4839762.9575
Great Britain,London Luton,PMI,MARLBORO,122748,MARLBORO - GOLD (2.0 ORIGINAL) KS RCB - UNITED KINGDOM DF - IDM UNITED KINGDOM,200,0,0,814800,0,0,11,0,0,258054
Gambia,Banjul,BAT,LUCKY STRIKE,51260,LUCKY STRIKE - ORIGINAL RED KS BOX,400,6000,18800,40800,2,5,8,12200,129710,266220
Turkey,Ankara Airport,JTI,WINSTON,54250,WINSTON - SUPER LIGHTS 100's BOX SUPERSLIMS,200,0,400,15000,0,0,7,0,67.8,2542.5
Turkey,Kayseri Airport,PMI,L&M,87049,L&M - RED LABEL KS RCB 600 - TURKEY DF,600,105000,55800,46800,12,12,10,14993.5,8445.97,7358.1
Kuwait,Kuwait,KT & G,ESSE,54947,ESSE - GOLDEN LEAF 100's BOX SUPERSLIMS,200,833600,1692600,1485800,8,12,11,0,110709.79,102512.3
Vietnam,Cam Ranh,PMI,MARLBORO,122623,MARLBORO - PURPLE BURST MENTHOL KS BOX C TRU 200 JUMBO WHITE - INDOCHINA DF,200,0,437000,294200,0,12,11,0,57759,38246
Jordan,Amman,IMPERIAL BRANDS,DAVIDOFF,42491,DAVIDOFF - MAGNUM 90's BOX,200,130800,135800,126600,12,12,9,21279,21522.22,20293.05
Italy,Verona,KING'S TOBACCO,THE KING,92676,THE KING - SILVER KS RCB,200,6800,0,0,2,0,0,589,0,0
Cape Verde,Praia,KING'S TOBACCO,CORSET,114209,CORSET - DEUX A PORTER 100's NEW GENERATION SHOULDER BOX C SUPERSLIMS,200,0,0,3800,0,0,1,0,0,76000
Kuwait,Kuwait,IMPERIAL BRANDS,DAVIDOFF,88459,DAVIDOFF - CLASSIC KS BOX,200,21000,0,0,2,0,0,2667,0,0
Malaysia,Johor Bahru,BAT,DUNHILL,93057,DUNHILL - BOOST MINT MENTHOL KS BOX C,200,0,25000,10000,0,3,1,0,15375,6150
South Korea,Cheongju,KT & G,CLOUD 9,52984,CLOUD 9 - 100's OCTAGONAL PACK SUPERSLIMS,200,0,5400,38600,0,2,7,0,891,6369
Mexico,Queretaro,PMI,MARLBORO,139305,MARLBORO - GOLD (3.5) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE,200,0,0,4287,0,0,3,0,0,771.66
Maldives,Male,HTS HONGTA LTD.,UNDEFINED,0,UNDEFINED,0,591136,588792,572845,11,12,11,0,0,0
Brazil,Rio de Janeiro,BAT,LUCKY STRIKE,59257,LUCKY STRIKE - CLICK & ROLL KS BOX C,600,0,0,1200,0,0,1,0,0,122
China,Yancheng Nanyang,CHINA NATIONAL,FURONGWANG,103407,FURONGWANG - KS BOX,200,0,0,30,0,0,0,0,0,42.9
Great Britain,Exeter,JTI,MAYFAIR,44279,MAYFAIR - KS BOX,400,18000,12800,8800,6,7,3,3825,2896,2222
Tunisia,Tunis,BAT,LUCKY STRIKE,51260,LUCKY STRIKE - ORIGINAL RED KS BOX,600,880200,903600,832800,11,12,11,110025,112950,105793.2
Togo,Togo,PMI,MARLBORO,114698,MARLBORO - (GOLD 3.0) KS RCB - AFRICA DF-ENG TXT,200,3144038,3150000,4014779,8,12,11,393004.75,415250,541995.165
Italy,Bergamo,JTI,MAYFAIR,44279,MAYFAIR - KS BOX,200,0,54800,238200,0,3,11,0,12741,55381.5
Cape Verde,Espargos,BAT,VOGUE,51103,VOGUE - LILAS 100's BOX SUPERSLIMS,200,0,0,24000,0,0,6,0,0,396000
Great Britain,Exeter,IMPERIAL BRANDS,JOHN PLAYER SPECIAL,51575,JOHN PLAYER SPECIAL - BLUE KS BOX,200,0,0,5400,0,0,1,0,0,1571
China,Chengdu Tianfu,KT & G,ESSE,90020,ESSE - CHANGE 1MG 100's BOX C SUPERSLIMS,200,0,58983,111031,0,9,11,0,34042.475,63842.825
Ethiopia,Addis Ababa,PMI,MARLBORO,125840,MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - GENERIC DF-ENG TXT,600,0,1740000,5786400,0,4,11,0,210250,699190
Gibraltar,Gibraltar,PMI,MARLBORO,121195,MARLBORO - (RED FWD) KS BOX TRANSPARENT BUNDLE - GIBRALTAR DUTY PAID - IDM GIBRALTAR,200,404888,360000,344928,11,10,10,48586.56,50220,48807.312
Turkey,Gaziantep Airport,BAT,KENT,69945,KENT - HD (BLUE) 100's RCB,200,0,0,3000,0,0,2,0,0,360
Mexico,La Paz Manuel Marquez de Leon,PMI,MARLBORO,142119,MARLBORO - GOLD (3.5) KS RCB 400 TRANSPARENT BUNDLE - GENERIC DF-ENG TXT - ALTERNATIVE,400,0,6800,37200,0,2,11,0,1164.5,6745.5
Great Britain,Glasgow Prestwick,IMPERIAL BRANDS,RICHMOND,91247,RICHMOND - SUPERKINGS MENTHOL MENTHOL 100's BOX,200,16800,15000,12400,7,5,4,3864,3548.04,3177
Great Britain,Humberside,BAT,BENSON & HEDGES,45433,BENSON & HEDGES - KS BOX,600,0,2400,3000,0,0,1,0,532,699
Poland,Olsztyn,PMI,MARLBORO,125465,MARLBORO - RED 3.5 KS BOX 400 TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM POLAND,400,0,110000,74400,0,12,10,0,86955,61718
Germany,Dortmund,PMI,MARLBORO,125532,MARLBORO - RED 3.5 KS BOX - ENGLISH GHW TPD2 DF - IDM GERMANY,200,0,0,21800,0,0,6,0,0,6856.1
Dominican Republic,Puerto Plata,JTI,NATURAL AMERICAN SPIRIT,49916,NATURAL AMERICAN SPIRIT - (YELLOW) KS SOFT,400,0,2000,40800,0,1,9,0,457.1,9994.64
Morocco,Fes,BAT,VOGUE,45104,VOGUE - SUPER SLIMS MENTHOL 100's BOX SUPERSLIMS,200,258712,253158,329223,10,11,11,43981.04,43036.86,55967.91
Ivory Coast,Abidjan,JTI,WINSTON,53483,WINSTON - BLUE KS RCB,200,0,44000,70400,0,8,9,0,4731666.21,7587386.95
Myanmar,Mandalay,PMI,MARLBORO,98189,MARLBORO - ICE BLAST (2.0) MENTHOL KS BOX C WHITE - INDOCHINA DF,200,0,200,61600,0,0,4,0,39,12012
Armenia,Yerevan,KING'S TOBACCO,CORSET,109454,CORSET - LILAC A PORTER 100's NEW GENERATION SHOULDER BOX SUPERSLIMS,200,200,0,0,0,0,0,,0,0
Mexico,Monterrey,BAT,DUNHILL,47577,DUNHILL - INTERNATIONAL KS BOX,400,0,4000,5200,0,0,2,0,740,1007.5
Egypt,Cairo,JTI,CAMEL,45351,CAMEL - (BLUE) KS BOX,200,186600,70800,100800,10,5,6,23325,9027.2,12656.14
China,Wenzhou Longwan,JTI,SALEM,44768,SALEM - MENTHOL KS BOX,200,384,7005,11302,0,1,5,222.72,4062.9,6555.16
South Africa,Cape Town,JTI,CAMEL,43025,CAMEL - LIGHTS KS BOX,200,264600,304400,408200,12,10,11,151070,710810,0
Gabon,Gabon,IMPERIAL BRANDS,LAMBERT & BUTLER,45979,LAMBERT & BUTLER - GOLD KS BOX,200,25600,5400,6200,7,2,2,540000,405000,465000
Mexico,Puerto Vallarta,PMI,MARLBORO,104440,MARLBORO - (RED FWD) KS BOX TRANSPARENT BUNDLE WHITE - LA&CANADA DF-ENG TXT,200,84400,108600,0,5,3,0,17302,22137,0
