DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,2022 Volume,2023 Volume,2024 Volume,2022Month,2023Month,2024Month,2022 Revenue,2023 Revenue,2024 Revenue
Bangladesh,Zia,PMI,MARLBORO,125594,MARLBORO - RED 3.5 KS BOS - GENERIC DF-ENG TXT - ALTERNATIVE 1,200,0,0,90338,0,0,7,0,0,12647.32
Dominican Republic,Puerto Plata,PMI,L&M,123639,L&M - BLUE LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT,200,54400,66400,30200,10,12,8,8976,12191,5760.2
Great Britain,Edinburgh,JTI,SOVEREIGN,44887,SOVEREIGN - KS BOX,600,0,1800,18000,0,1,7,0,339.5,3529.5
Mexico,Puerto Vallarta,IMPERIAL BRANDS,DAVIDOFF,60523,DAVIDOFF - GOLD KS OCTAGONAL PACK,200,72800,95600,46400,9,12,10,14560,20406,10428
China,Nanning Wuxu,JTI,CASTER,46127,CASTER - MILD KS BOX,200,0,1447,4606,0,0,1,0,795.85,2533.3
Canary Islands,Gran Canaria,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,200,1470600,2418800,2071200,12,12,11,231619.5,331812.53,316658.01
Mexico,Cancun,PMI,MARLBORO,125348,MARLBORO - (RED FWD) KS BOX 600 TRANSPARENT BUNDLE WHITE - LA&CANADA DF-ENG TXT,600,3156600,3573600,0,7,7,0,520839,597584,0
Turkey,Antalya Gazipasa Airport,JTI,WINSTON,45182,WINSTON - KS BOX,200,0,0,3400,0,0,2,0,0,678.3
Morocco,Essaouira,BAT,LUCKY STRIKE,59257,LUCKY STRIKE - CLICK & ROLL KS BOX C,400,3595,631,13961,1,0,2,514.8148,91.03615,1894.220675
Armenia,Yerevan,INTL. MASIS TABAK,CIGARONNE,103172,CIGARONNE - (WHITE) KS BOX SUPERSLIMS,200,4358200,2998800,55400,12,12,8,195882.37,136141664.28,3468200.2
Great Britain,Newcastle,IMPERIAL BRANDS,LAMBERT & BUTLER,43914,LAMBERT & BUTLER - LIGHTS KS BOX,200,0,0,96200,0,0,6,0,0,27443
Caribbean Other,Kralendijk (Bonaire),PMI,MARLBORO,104519,MARLBORO - DOUBLE FUSION MENTHOL KS BOX C TRU TRANSPARENT BUNDLE WHITE - LA&CANADA DF-ENG TXT,200,66380,282438,0,4,12,0,11948.4,50838.84,0
France,Beauvais,BAT,VOGUE,51105,VOGUE - BLEUE 100's BOX SUPERSLIMS,200,41800,52800,43800,11,12,10,10972.5,18368.28,16151.2
Sri Lanka,Colombo,PMI,MARLBORO,104588,MARLBORO - EDGE (2.0) KS BOX SUPERSLIMS DCV WHITE - SOUTH ASIA DF,200,13927,104473,21276,3,12,3,2742.2263,20570.7337,4189.2444
India,Bangalore,PMI,MARLBORO,113637,MARLBORO - (GOLD 3.0) KS RCB 400 WHITE - SOUTH ASIA DF,400,927800,484400,422800,12,12,10,9553109.5,5992013.85,6265320.5
Barbados,Bridgetown,PMI,MARLBORO,125835,MARLBORO - RED 3.5 100's BOX - GENERIC DF-ENG TXT,200,0,12988,66086,0,4,8,0,2207.96,11234.62
Greece,Corfu,KARELIA TOBACCO,KARELIA,70405,KARELIA - KS BOX,200,19800,43600,37200,5,8,7,2475,5450,4650
China,Zhengzhou Xinzheng,JTI,MORE,45387,MORE - KS BOX,200,51,1475,6315,0,0,2,20.145,582.625,2494.425
