Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score
Birmingham,6.38,0.0,0.25,9.72,4.09
Mexico City,6.84,9.87,0.2,0.0,4.23
La Palma,5.96,0.0,0.16,9.07,3.8
Krakow Balice,6.79,0.0,0.27,9.81,4.22
Cork,5.67,0.0,2.15,7.09,3.73
Puerto Vallarta,6.84,9.84,0.21,0.0,4.22
Nador,6.86,9.99,0.08,6.85,5.94
Daegu (downtown),0.0,9.73,0.0,0.0,2.43
Katima Mulilo,4.76,0.0,0.0,0.0,1.19
Marseille,6.76,10.0,0.29,8.01,6.26
Miyazaki,6.67,0.0,8.29,0.0,3.74
Seoul (downtown),0.0,0.35,0.0,0.0,0.09
Moscow - Sheremetyevo,6.8,0.0,0.14,0.0,1.74
Toulouse,6.86,10.0,0.18,0.0,4.26
Katowice,5.0,0.0,3.05,9.82,4.47
Kaohsiung,5.89,9.97,0.26,6.64,5.69
Soekarno Hatta,6.85,10.0,0.17,9.83,6.71
Jieyang Chaoshan,6.71,0.0,0.0,0.0,1.68
Dalian Zhoushuizi,6.75,9.94,0.06,9.66,6.6
Colombo,6.7,10.0,0.0,0.0,4.17
Mykonos,5.53,0.0,0.25,9.37,3.79
Dubrovnik,7.78,0.0,5.67,9.32,5.69
Porto,6.89,0.0,0.22,9.75,4.22
Mangalore,4.87,0.0,3.93,6.95,3.94
Taiyuan Wusu,6.71,10.0,0.05,9.58,6.59
Split,7.78,0.0,5.38,5.93,4.77
Malaga,6.48,0.0,0.13,0.0,1.65
Almaty,5.0,0.0,2.61,9.92,4.38
Douala,7.0,0.0,0.63,10.0,4.41
Casablanca,6.47,9.97,0.03,9.92,6.6
Queenstown,4.44,0.0,2.5,0.0,1.74
Ho Chi Minh,6.67,0.0,0.63,9.62,4.23
Bordeaux,6.5,10.0,0.43,1.54,4.62
Sihanoukville,6.72,10.0,0.13,8.35,6.3
Auckland,4.44,0.0,2.35,7.88,3.67
Osaka - Kansai,6.58,5.08,0.04,9.03,5.18
Samana El Catey,6.85,10.0,0.0,8.27,6.28
Jomo Kenyatta,6.42,9.99,0.16,6.99,5.89
Shijiazhuang Zhengding,0.0,0.0,1.38,4.63,1.5
Ostrava,6.83,0.0,0.0,8.43,3.82
Almeria,6.36,0.0,0.45,9.17,4.0
Bournemouth,6.22,0.0,0.6,0.0,1.7
Fes,6.51,10.0,0.04,0.0,4.14
Hanoi,5.4,0.0,0.82,9.15,3.84
Cancun,6.84,9.86,0.2,8.84,6.43
Durban,6.74,10.0,0.48,9.78,6.75
Yingsheng,10.0,0.0,0.0,0.0,2.5
Port Louis,5.24,0.0,2.93,9.84,4.5
Batumi,6.83,0.0,0.0,9.5,4.08
Skiathos,6.67,0.0,0.0,10.0,4.17
Kilimanjaro,6.75,0.0,0.34,10.0,4.27
East Midlands,6.15,0.0,0.24,9.41,3.95
Bridgetown,6.76,0.0,0.61,1.61,2.24
Yangon,5.77,0.0,0.74,9.23,3.94
Thessaloniki,5.98,0.0,0.44,6.5,3.23
Ibaraki,4.44,0.0,9.85,6.8,5.27
Faroe Islands,6.67,0.0,0.0,9.55,4.06
