Location	Cat_A	Cat_B	Cat_C	Cat_D	Avg_Score
Durban	4.17	6.1	4.08	9.07	5.86
Yangon	7.08	0.62	6.71	1.29	3.92
Sendai	5.93	10	6.22	0.24	4.13
Madeira	6.11	6.18	6.69	8.3	6.82
Asturias	7.22	5.81	8.45	9.91	7.85
Volgograd	6.67	7.49	2.97	9.38	6.63
Mendoza	5.83	10	5.67	9.3	6.93
Lille	7.14	1.75	9.15	8.12	6.54
Salvador	6.8	8.22	7.02	9.17	7.8
Takamatsu	6	10	6.63	1.81	4.81
Cordoba	5.71	10	8.17	9.76	7.88
Exeter	6.67	4.82	7.16	6.65	6.32
Kilimanjaro	7.41	8.14	7.92	9.44	8.23
Douala	5.83	10	8.17	9.93	7.98
Weihai Dashuibo	6.67	0.53	5.07	0.96	3.31
Brisbane	5.45	10	7.85	9.4	7.57
Lusaka	5	10	0.75	9.64	5.13
Antigua	6.67	10	7.82	8.25	7.58
Munster-Osnabruck	6.33	10	6.74	7.35	6.81
Rotterdam	7.78	10	9.71	9.06	8.85
Paderborn	3.33	0.05	9.25	4.98	4.4
Phu Quok	7.67	0.09	6.97	1.29	4
Genoa	6.19	10	7.55	8.06	7.27
Kigali	5	10	2.57	4.95	4.17
Dortmund	6.41	10	8.23	9.64	8.09
Mombasa	5.71	10	8.64	9.76	8.04
Malmo	6.67	0.56	6.52	8.32	5.52
Mazatlan	7.44	5.22	2.37	8.46	5.87
Dalian Zhoushuizi	7.78	0	0	0	1.94
Mudanjiang Hailang	7.22	1.27	7.82	1.63	4.49
La Paz Manuel Marquez de Leon	6.53	9.04	2.47	9.16	6.8
Konya Airport	6.13	6.43	6.8	8.07	6.86
Hiroshima	6.67	10	6.38	0.43	4.49
Okayama	5.93	10	4.11	0	3.35
Nanchang Changbei	8.33	3.83	8.53	0	5.17
Belo Horizonte	6.77	7.02	9.27	9.35	8.1
Pula	5	10	5.28	10	5.14
Liberia	4.17	10	8.74	8.16	7.02
Abuja	6.67	6	4.02	8.16	6.21
Yangyang	5.42	0	0	0	1.36
A Coruna	8	4.22	9.57	9.33	7.78
Norwich	7.33	0.08	5.31	1.56	3.57
Aalborg	7.5	0	7.26	6.91	5.42
Auckland	4.44	0	0	0	1.11
Treviso	5.56	0.01	2.96	6.46	3.75
Ramon	6.44	10	0	0	2.15
Ekaterinburg	5.83	0	3.08	3.35	3.06
Kutahya Airport	5.68	4.41	0	0	2.52
Samana El Catey	7.19	3.89	0	0	2.77
Minsk	5.56	10	0.16	0.04	1.92
Humberside	6.67	2.19	0	0	2.22
Min Vody	7.41	1.91	3.25	5	4.39
St. George's Point Saline	6.96	6.37	9.6	8.37	7.82
Katima Mulilo	5	0	0	0	1.25
Graz	6.25	10	7.84	8.91	7.67
Kavala	6.11	2.69	0	0	2.2
Natal	6.55	4.03	9.39	7.8	6.94
Florianopolis	6.11	8.42	2.22	9.31	6.52
Grenoble	7.22	0	0	0	1.8
Ostrava	7.22	7.48	0	0	3.68
Sydney	7.14	10	3.63	2.6	4.46
Tarbes - Lourdes	6.67	2.84	0	0	2.38
Brasilia	7.01	7.28	9.75	9	8.26
Zadar	8.33	10	8.24	10	8.28
Porto Alegre	6.99	7.59	7.87	8.66	7.78
Harbin Taiping	10	3.82	6.26	4.31	4.8
Recife	7.22	9.15	9.52	8.91	8.7
Mitilini	7.62	3.3	4.59	7.45	5.74
Amritsar	6.11	10	1.67	9.6	5.79
Anna	6.11	10	1.56	9.31	5.66
Goa	6.11	10	1.84	9.67	5.87
Jaipur	6.11	10	1.59	10	3.85
Karipur	6.11	10	1.59	9.47	5.72
Lucknow	6.11	10	1.57	9.47	5.72
Mangalore	6.11	10	1.6	9.47	5.73
Netaji Subhash Chandra Bose Int. Airport	6.11	10	1.7	9.31	5.71
Sardar Vallabh Bhai Patel	6.11	10	1.72	9.67	5.83
Trichy	6.11	10	1.59	9.31	5.67
Granada	6.67	0.51	7.28	9.28	5.94
Yinchuan Hedong	5.56	0.09	0.23	0.3	1.54
Gaborone	5.56	0	0	10	1.85
Haiphong	10	0	5.23	0.06	1.76
Sierra Leone	6.67	10	4.69	9.77	7.04
Chambery	8.33	0	0	0	2.08
London Southend Airport	8.33	3.89	5.87	6.55	6.16
Bujumbura	6.36	10	3.91	8.47	6.25
Ixtapa Zihuatanejo	6.57	1.78	4.07	8.17	5.15
Shizuoka	8.33	10	7.84	6.84	7.67
Vaxjo	8.33	10	0	0	2.78
Basseterre (Saint Kitts)	6.81	6.32	4.99	4.58	5.67
Strasbourg	7.5	5.83	8.99	8.36	7.67
Maputo	8.33	0	0	0	2.08
Samarkand	6.25	10	1.04	6.5	4.6
Denizli Cardak Airport	6.44	0.01	5.77	4.64	4.22
Queretaro	6	10	2.55	5.08	4.54
Shandong	7.5	0	0	0	1.88
Kagoshima	4.44	10	8.52	5.75	6.24
Tozeur	7.08	2	0	0	2.27
Kinshasa	7.78	10	0.8	1.35	3.31
Acapulco	6.52	1.67	1.67	7.52	4.34
Samos	6.67	4.2	4.62	7.47	5.74
Samara	3.33	10	4.4	9.9	5.88
Rosario	5.42	10	6.22	9.44	7.03
Cairns	7.78	0	6.67	1.15	3.9
Kalibo	8.33	10	8.36	0	5.56
Lulea	5.83	10	7.66	10	6.74
Nykoping	10	10	6.57	8.85	7.71
Quanzhou	6.19	10	0	0	2.06
Erfurt	7.78	10	0	0	2.59
Sihanoukville	6.19	3.7	0	0	2.47
Miyazaki	6.67	10	2.39	0.99	3.35
Xuzhou Guanyin	6	0.47	0	0.75	1.8
Karpathos	5	0	0	0	1.25
Oita	10	0	3.26	1.38	1.55
Bariloche	8.33	10	5.46	9.41	7.73
Radom	6.11	10	0	0	2.04
Aktau	5.83	0	0	0	1.46
Umea	7.5	7.49	0	6.08	5.27
Fukushima	6.67	0	0	5.47	3.04
Coolangatta	5.56	0	4.87	7.2	4.41
Marka	5.42	0.12	0	0	1.38
Ioannina	5.71	9.43	0	0	3.78
Hatay Airport	5	0	0	0	1.25
Shymkent	6.67	0	0	0	1.67
Kazan	6.67	0	0	0	1.67
Gothenburg	6.67	0	5.32	6.39	4.6
Luanda 	7.33	10	0.87	3.04	3.75
Manama 	6.04	10	4.21	7.99	6.08
Lanzarote	5.67	6.73	8.87	8.26	7.38
Aarhus	4.44	0	0	0	1.11
Glasgow Prestwick	6.67	0.86	4.98	0.1	3.15
Queenstown	4.44	10	6.65	4.25	5.11
Juba	6.3	10	8.87	8.11	7.76
