Location,Cat_A,Green_Count,Red_Count,Total_SKUs,Cat_B,Cat_C,Cat_D,Avg_Score
Santiago De Compostela,6.79,2.0,0.0,53.0,0.02,0.01,0.16,1.7449999999999999
Billund,6.67,0.0,0.0,18.0,10.0,0.0,,5.5566666666666675
Belize City,5.38,2.0,6.0,26.0,10.0,0.0,,5.126666666666666
Curacao,6.75,1.0,0.0,40.0,10.0,0.0,,5.583333333333333
Bourgas,6.2,1.0,3.0,36.0,0.11,0.01,0.5,1.705
Oita,7.22,1.0,0.0,6.0,0.0,1.61,,2.9433333333333334
Poznan-Lawica,4.81,0.0,5.0,18.0,10.0,0.0,,4.9366666666666665
Bordeaux,6.5,2.0,2.0,39.0,1.52,0.0,0.01,2.0075
Kutahya Airport,6.95,9.0,0.0,105.0,1.93,,0.28,3.0533333333333332
Charleroi,6.67,2.0,1.0,21.0,10.0,0.0,,5.5566666666666675
St. George's Point Saline,6.81,3.0,0.0,72.0,0.53,0.01,0.59,1.9849999999999999
Alexandria,6.76,3.0,0.0,111.0,0.0,,0.22,2.3266666666666667
Fort-de-France,6.15,3.0,6.0,58.0,0.34,0.0,0.1,1.6475
Miyazaki,6.67,0.0,0.0,6.0,10.0,2.52,,6.396666666666667
Haiphong,8.33,2.0,0.0,4.0,,1.92,0.16,3.47
Asyut,5.33,2.0,6.0,25.0,,0.0,,2.665
Aomori,4.44,0.0,2.0,6.0,10.0,2.73,0.6,4.442500000000001
